wallet,pm_coin,pm_direction,pm_question,pm_token_bought,pm_buy_price,pm_shares_bought,pm_dollar_spent,pm_nominal_value,pm_buy_timestamp,pm_market_end_date,pm_days_before_resolution,pm_sold_early,hl_coin,hl_side,hl_open_timestamp,hl_close_timestamp,hl_avg_entry_price,hl_exit_price,hl_total_buy_size,hl_total_notional_all_fills,hl_realized_pnl,hl_fills_count,hl_notional_usd,pm_hl_ratio,pm_size_bucket,entry_gap_days,pm_to_resolution_days
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Bullish,Will Google dip to $290 in December?,No,0.999,51.0,50.95,51.0,2026-01-01 01:13:23+00:00,2026-01-01 04:59:59.999000+00:00,0.2,No,GOOGL,Short,2025-12-03 02:22:59.928000+00:00,2025-12-03T02:42:01.208000+00:00,317.3347,317.36,1.0,634.27,-0.39,3,317.135,0.16065713339744905,C: $25-$99,28.951655925925927,0.1573726736111111
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Bullish,Will Google dip to $275 in December?,No,0.999,51.0,50.95,51.0,2025-12-31 11:52:51+00:00,2026-01-01 04:59:59.999000+00:00,0.7,No,GOOGL,Short,2025-12-03 02:22:59.928000+00:00,2025-12-03T02:42:01.208000+00:00,317.3347,317.36,1.0,634.27,-0.39,3,317.135,0.16065713339744905,C: $25-$99,28.39573,0.7132985995370371
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Bullish,Will Google dip to $260 in December?,No,0.999,51.0,50.95,51.0,2025-12-31 11:53:31+00:00,2026-01-01 04:59:59.999000+00:00,0.7,No,GOOGL,Short,2025-12-03 02:22:59.928000+00:00,2025-12-03T02:42:01.208000+00:00,317.3347,317.36,1.0,634.27,-0.39,3,317.135,0.16065713339744905,C: $25-$99,28.396192962962964,0.7128356365740741
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Bullish,Will Google dip to $240 in December?,No,0.998,51.0,50.9,51.0,2025-12-31 11:54:15+00:00,2026-01-01 04:59:59.999000+00:00,0.7,No,GOOGL,Short,2025-12-03 02:22:59.928000+00:00,2025-12-03T02:42:01.208000+00:00,317.3347,317.36,1.0,634.27,-0.39,3,317.135,0.16049947183376165,C: $25-$99,28.396702222222224,0.7123263773148149
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Bullish,Will Google dip to $215 in December?,No,0.999,51.0,50.95,51.0,2025-12-31 11:54:55+00:00,2026-01-01 04:59:59.999000+00:00,0.7,No,GOOGL,Short,2025-12-03 02:22:59.928000+00:00,2025-12-03T02:42:01.208000+00:00,317.3347,317.36,1.0,634.27,-0.39,3,317.135,0.16065713339744905,C: $25-$99,28.397165185185187,0.7118634143518519
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Bullish,Will Google (GOOGL) close above $280 end of December?,Yes,0.998,51.0,50.9,51.0,2025-12-31 13:13:47+00:00,,0.3,No,GOOGL,Short,2025-12-03 02:22:59.928000+00:00,2025-12-03T02:42:01.208000+00:00,317.3347,317.36,1.0,634.27,-0.39,3,317.135,0.16049947183376165,C: $25-$99,28.451933703703705,
0x00dfef5239af8aa2a260de92efc45898e0390c4f,GOOGL,Bearish,Will Google (GOOGL) hit $290 before 2026??,No,0.7208,34.68,25.0,34.68,2025-11-26 05:07:13+00:00,,35.8,No,GOOGL,Long,2025-11-24 20:40:27.131000+00:00,2026-02-02T03:53:16.411000+00:00,327.5236,330.97,1028.653,675486.29,1670.56,421,337743.145,7.402074733448698e-05,C: $25-$99,1.3519197800925926,
0x00dfef5239af8aa2a260de92efc45898e0390c4f,GOOGL,Bearish,Will Google (GOOGL) hit $285 before 2026??,No,0.84,29.76,25.0,29.76,2025-11-26 05:06:09+00:00,,35.8,No,GOOGL,Long,2025-11-24 20:40:27.131000+00:00,2026-02-02T03:53:16.411000+00:00,327.5236,330.97,1028.653,675486.29,1670.56,421,337743.145,7.402074733448698e-05,C: $25-$99,1.351179039351852,
0x00dfef5239af8aa2a260de92efc45898e0390c4f,GOOGL,Bearish,Will Google (GOOGL) hit $275 before 2026??,No,0.8736,28.62,25.0,28.62,2025-11-26 05:06:45+00:00,,35.8,No,GOOGL,Long,2025-11-24 20:40:27.131000+00:00,2026-02-02T03:53:16.411000+00:00,327.5236,330.97,1028.653,675486.29,1670.56,421,337743.145,7.402074733448698e-05,C: $25-$99,1.3515957060185186,
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,NVDA,Bullish,Will NVIDIA (NVDA) close at $185–190 in 2025?,Yes,0.09,22.22,2.0,22.22,2025-11-29 21:55:45+00:00,,31.1,Yes,NVDA,Short,2025-11-21 14:03:03.889000+00:00,2025-12-26T17:18:05.436000+00:00,181.2654,190.5,66.723,24185.31,-3.84,69,12092.655,0.00016538965181757024,D: $2-$24,8.328253599537037,
